restaurant_name,name,rating,review
McDonald's Pandanaran,Febrian R,5.0,"The place is pretty busy but staff is doing great job. The food tastes good, especially the French fries one. 10/10 would try it again."
McDonald's Pandanaran,Rudhy,5.0,"The fast-food restaurant which lies in the center of Semarang city, exactly on Pendanaran road. Before I continue my trip come back home, I drop by this place intentionally. The waitress serving me is warm and I will visit this restaurant next time if I go to this city."
McDonald's Pandanaran,muister norman,4.0,"It is located at very strategical place at Pandanaran intersection 🛣️ best and nearest fast-food restaurant from Pandanaran shopping centre and Hermina hospital 🏥 Its drive-thru service is great and always crowded. However, it's quite difficult to get car-parking space there."
McDonald's Pandanaran,Jajaval Nakhakes,4.0,"This Mcdonsld shop has drive thru option, parking space for cars, meeting room for private party on the second floor. It’s normal custom that locals here use only their bare hands to eat rice with fried chickens. So there is sinks for washing your hands, and air hand dryer."
McDonald's Pandanaran,Angellia Shasabilla,5.0,"McD Pandanaran is a place where we can eat junk food such as burgers, fried chicken, cola, and others. This place is located at Pandanaran street No.44, Pekunden, Semarang Tengah, Pekunden, Semarang Tengah, Kota Semarang, Jawa Tengah 50134. McD also provides drive thru, the service is the same and fast. on the 2nd floor, there is a children's playground. and I highly recommend you who like fast food. this place is also not far from the tourist destination Lawang Sewu."
McDonald's Pandanaran,Tri St.,5.0,"Okay, the smell of delicious fried chicken was awesome. The ice tea is so refreshing. The rice is very nice, soft and sweet. The iced coffee is very good and strong flavors, my eyes opened wider and my mouth poured with a bit of amazing flavor. Cozy atmosphere, chilled room, nice sofa, faster-served foods. It is a very good place to hang out and enjoy the food. It is my favorite place to spend the night. The price is normally compared to the other restaurants. Payment options are available in many ways. The parking area is a bit easier. The big brands of MacDonald are truly showing in this place."
McDonald's Pandanaran,avp,3.0,"Saturday morning too crowded, better not coming here... too crowded they cant handle, also drivetru cant handle, forget sauce."
McDonald's Pandanaran,Bastanta Lubis,4.0,Good for late bit night. They open 24hours. Also good spot in case you cannot find parking slot near bandeng juwana 😂. They close each other.
McDonald's Pandanaran,olive wibowo,5.0,"Fast service and comfortable place, strategic location in the middle of Semarang city. Opposite to the Semarang special food sales area."
McDonald's Pandanaran,Avil's Kitchen,4.0,"Frenchise one of American fastfood restaurant. Located in Pandanaran Simpang street, beside Aston inn Semarang. The menu is same with another MCD. Unfortunately the parking area is not wide, so is always crowded and difficult to park here"
McDonald's Pandanaran,Anggoro Prasetianto,4.0,"Having a little hang out with family, comfortable should be more attention with toilet, its already broken but seem never fixed. Parking lot is the other problem."
McDonald's Pandanaran,Miswanto,5.0,Nice place for Working From Anywhere 😎☕️👍Nice view for Pandanaran Street 😍👏
McDonald's Pandanaran,Jampang Oleh2 Jakarta,5.0,"One of the favorite restaurant place, good service, delicious food, and ice cream machine that sometimes always broken with no reason. But... Overall its a good place👍"
McDonald's Pandanaran,Yakobus Adi,4.0,"This Mc Donal is the best place for people to dine in or take away with family or friends. The place is in the strategic location and when you are there for take away, they arranged the way with some plants that make our eyes refresh and see something different besides the building... The people serve their best and all the menus there are tasty and delicious..."
