hotel_name,name,rating,review
RedDoorz Hostel @ DI Panjaitan Simpang Lima,Pachadella Yolanro,3.0,"I went to semarang for bussines purpose . I have 12 hours trip and arived at 1am. My first night is here. They have 24 checkin but u need to booking it first from app.they dont have many staff there but they r so kind to carry my suitcase to 3rd floor. Although The 3rd floor bathroom have limit water . But i do love the bedding, i love the strategic location, the Ac cold too. Overall is still okay"
RedDoorz Hostel @ DI Panjaitan Simpang Lima,Teuku April,5.0,"Cheap price! I got a room by only Rp 66.000,- (after promo) at Reddoorz App. This hostel provides bunkbed (shared room & bathrooms) but, the rooms is nice. They have 3 floors, 2nd and 3nd floors for customers. First floors for Reception and mini cafe. Each floors (except 1st floor) had 3-5 bathrooms and around 10 beds or more, I forgot. The place is at the center of the Semarang City, near street foods market and Landmarks like Lawang Sewu and Simpang Lima."
RedDoorz Hostel @ DI Panjaitan Simpang Lima,Unggul Prayitno (astrastasia),5.0,"Good place to rest, fair price and located near the center of city, i would recommend take hotel if you bring your family though"
RedDoorz Hostel @ DI Panjaitan Simpang Lima,budi daryono,4.0,mayanRooms: 3/5 | Service: 3/5 | Location: 3/5 …More
RedDoorz Hostel @ DI Panjaitan Simpang Lima,Ersa Nanda Pratama,5.0,"awesome, many thanks for quick check in at late night"
RedDoorz Hostel @ DI Panjaitan Simpang Lima,barca cool,2.0,"No hot water, no pray room"
RedDoorz Hostel @ DI Panjaitan Simpang Lima,Aditya Wicaksono,4.0,it's a bargain for any backpacker.
RedDoorz Hostel @ DI Panjaitan Simpang Lima,Yurnalis Rahmat Lutfi,5.0,Capsule
RedDoorz Hostel @ DI Panjaitan Simpang Lima,Dliyaul Mushthafa,5.0,Comfy!
RedDoorz Hostel @ DI Panjaitan Simpang Lima,nabeela abdurrachman,5.0,Good
RedDoorz Hostel @ DI Panjaitan Simpang Lima,Jajang Jakaria,4.0,Nice place
RedDoorz Hostel @ DI Panjaitan Simpang Lima,Aidhil Agung,5.0,Ala hostel
RedDoorz Hostel @ DI Panjaitan Simpang Lima,Bagus Ghofi' Mubarok Dawam,5.0,Ok Rooms: Ok Nearby activities: Ok Safety: Ok Walkability: Ok Food & drinks: Ok Noteworthy details: Ok
RedDoorz Hostel @ DI Panjaitan Simpang Lima,Afung Fajar,3.0,"(Translated by Google) Suitable for backpackers. Because the model is similar to a military barracks. It's clean and the air conditioner is cold. But don't meet people who snore while sleeping, you must be tormented all night. Price according to conditions. Get a packing model breakfast. Close to warkop in the morning. K (Original) Cocoknya buat backpacker. Karena modelnya mirip barak militer .memang bersih ac dingin . Tapi jangan sampe ketemu orang mendengkur saat tidur pasti anda tersiksa .semalaman. Harga sesuai kondisi. Dapat sarapan model packing . Dekat dengan warkop kalo pagi . K"
RedDoorz Hostel @ DI Panjaitan Simpang Lima,A.A Wirawan,2.0,"(Translated by Google) Dream Capsule Redoorz 2 floors with capsule bed & bathroom inside Bed capsules are good, it's worth it, only the bed curtain covers are replaced, don't they are thick, not thin, can be seen from the outside when the bed light is on (you can change the bra, look) SEVERE BATHROOM THE WATER WAS ROUTING LIKE PEINE!!! (Original) Dream Capsul Redoorz 2 Lantai Ada CapsulBed & Bathroom Dalam ¤ Capsul Bed Bagus Layak kox Cuma Penutup Korden Bed ya diganti donk yang Tebal Jangan TIPIS Bisa di Lihat Nerawang dari luar kalo Nyala Lampu Bed (Cwe Ganti Bra Keliahatan) ¤ Bathrooom PARAH AIR NGALIR KAYAK AIR KENCING !!!"
RedDoorz Hostel @ DI Panjaitan Simpang Lima,lucky zaen,5.0,"(Translated by Google) The hotel is strategically located, there is a car parking area, comfortable, suitable for travelers, cheap, friendly service, clean rooms. friendly and nice (Original) Hotel letak strategis ada parkir area mobil,nyaman,cocok buat para traveller,murah,pelayanan ramah,kamar bersih..kmaren dapat recommend dr teman hub admin reddoorz di pusat nya dapat harga potongan diskon hingga 20% pas bgt😁👍silahkan hub 085728844413 admin ramah dan baik bgtzzzzz"
RedDoorz Hostel @ DI Panjaitan Simpang Lima,Ranandika pryhastian,1.0,"(Translated by Google) Be careful who wants to book through the reedorz application because it doesn't match the application!! The CS complained that they even blamed the application even though it was clear that in front of the hotel the collaboration with Reedoz was very funny, the service was really bad! Disappointing!! Cheater!! (Original) Hatihati yang mau booking lewat aplikasi reedorz karena tidak sesuai dengan aplikasi!! CS nya Di complain malah nyalahin aplikasi padahal jelas di depan hotel kerja sama nya sama reedoz lucu sekali wkwk servise nya buruk bgt! Mengecewakan!! Penipu!!"
RedDoorz Hostel @ DI Panjaitan Simpang Lima,Kristina Indah Puspita,5.0,"(Translated by Google) comfortable rooms at affordable prices, okay facilities and very good service. booking is cheaper and easier hub. 085608797727 (Original) kamar nyaman harga terjangkau, fasilitas oke serta pelayanan yang sangat baik. booking lebih murah dan mudah hub. 085608797727"
RedDoorz Hostel @ DI Panjaitan Simpang Lima,usup az,5.0,"(Translated by Google) The service is good and very friendly, but the last time I stayed here to flush the toilet and shower faucet it seemed that it needed to be repaired. (Original) Pelayanan baik dan ramah sekali, namun terakhir kali saya menginap di sini untuk flush toilet dan keran shower nampaknya perlu diperbaiki."
RedDoorz Hostel @ DI Panjaitan Simpang Lima,Yunus Prastio,5.0,"(Translated by Google) Worth it, the rooms are comfortable, safe, quiet. Friendly staff, only the bathroom, please clean the handle of the water. Overall, good... (Original) Worth it, kamar nyaman, aman, tenang. Staff yg ramah, cuman kamar mandinya tolong dibersihkan pada bagian gagang air. Overall, bagusss..."
RedDoorz Hostel @ DI Panjaitan Simpang Lima,Bayu Suwarsono,1.0,(Translated by Google) Some of the water in the bathroom are dead (Original) Kamar mandi airnya sebagian ada yg pada mati
RedDoorz Hostel @ DI Panjaitan Simpang Lima,DIAN HARDIANTO,5.0,(Translated by Google) Cheap lodging with pretty good facilities for a place to rest and unwind after a long journey (Original) Penginapan murah dengan fasilitas cukup bagus untuk tempat istirahat lepaskan lelah setelah melakukan perjalanan yg cukup panjang
RedDoorz Hostel @ DI Panjaitan Simpang Lima,Elis Modiv'93,4.0,"(Translated by Google) The bed's okay if it's just to stop by to unwind from the trip, but this is only for 1 person! (Original) Tempat tidur'a lumayan lah kalo hanya untuk sekedar singgah melepas lelah perjalanan, tapi ini hanya untuk 1 orang ya!"
